condition,cell_id,mitochondria_id,image_category_type,file_name,file_path
shOPA1,3,11,mitochondria_mask,images_shOPA1_cell_003_0011_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_003_0011_mito_imgs.tiff
shCtrl,4,54,lamellar_cristae_mask,images_shCtrl_cell_004_0054_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0054_lamellar_cristae_imgs.tiff
shCtrl,4,59,tubular_cristae_mask,images_shCtrl_cell_004_0059_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0059_tubular_cristae_imgs.tiff
shCtrl,3,9,tubular_cristae_mask,images_shCtrl_cell_003_0009_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_003_0009_tubular_cristae_imgs.tiff
shCtrl,4,43,tubular_cristae_mask,images_shCtrl_cell_004_0043_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0043_tubular_cristae_imgs.tiff
shCtrl,1,23,original_EM_image,images_shCtrl_cell_001_0023_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_001_0023_ori_imgs.tiff
shOPA1,1,131,lamellar_cristae_mask,images_shOPA1_cell_001_0131_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0131_lamellar_cristae_imgs.tiff
shOPA1,1,41,mitochondria_mask,images_shOPA1_cell_001_0041_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0041_mito_imgs.tiff
shCtrl,4,6,lamellar_cristae_mask,images_shCtrl_cell_004_0006_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0006_lamellar_cristae_imgs.tiff
shCtrl,1,10,original_EM_image,images_shCtrl_cell_001_0010_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_001_0010_ori_imgs.tiff
shOPA1,2,94,original_EM_image,images_shOPA1_cell_002_0094_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0094_ori_imgs.tiff
shOPA1,1,30,original_EM_image,images_shOPA1_cell_001_0030_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0030_ori_imgs.tiff
shCtrl,1,13,original_EM_image,images_shCtrl_cell_001_0013_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_001_0013_ori_imgs.tiff
shOPA1,2,62,tubular_cristae_mask,images_shOPA1_cell_002_0062_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0062_tubular_cristae_imgs.tiff
shOPA1,2,33,original_EM_image,images_shOPA1_cell_002_0033_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0033_ori_imgs.tiff
shCtrl,2,9,mitochondria_mask,images_shCtrl_cell_002_0009_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_002_0009_mito_imgs.tiff
shOPA1,5,2,original_EM_image,images_shOPA1_cell_005_0002_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_005_0002_ori_imgs.tiff
shOPA1,1,98,mitochondria_mask,images_shOPA1_cell_001_0098_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0098_mito_imgs.tiff
shOPA1,5,47,tubular_cristae_mask,images_shOPA1_cell_005_0047_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_005_0047_tubular_cristae_imgs.tiff
shOPA1,2,66,tubular_cristae_mask,images_shOPA1_cell_002_0066_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0066_tubular_cristae_imgs.tiff
shCtrl,4,43,mitochondria_mask,images_shCtrl_cell_004_0043_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0043_mito_imgs.tiff
shOPA1,4,6,tubular_cristae_mask,images_shOPA1_cell_004_0006_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_004_0006_tubular_cristae_imgs.tiff
shCtrl,4,54,mitochondria_mask,images_shCtrl_cell_004_0054_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0054_mito_imgs.tiff
shCtrl,5,13,tubular_cristae_mask,images_shCtrl_cell_005_0013_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_005_0013_tubular_cristae_imgs.tiff
shOPA1,2,1,tubular_cristae_mask,images_shOPA1_cell_002_0001_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0001_tubular_cristae_imgs.tiff
